"original address",latitude,longitude
"3350 N KENWOOD AVE,INDIANAPOLIS,INDIANA",39.816816,-86.160645
"3010 N GLADSTONE AVE,INDIANAPOLIS,INDIANA",39.811162,-86.096948
"709 N ROCHESTER AVE,INDIANAPOLIS,INDIANA",39.777012,-86.220359
"2822 E 18TH ST,INDIANAPOLIS,INDIANA",39.791326,-86.115673
"9637 E 42ND ST,INDIANAPOLIS,INDIANA",39.833196,-85.997498
"59 N DENNY ST,INDIANAPOLIS,INDIANA",39.770998,-86.099452
"2426 N DEARBORN ST,INDIANAPOLIS,INDIANA",39.802489,-86.11231
"1502 N HIGH SCHOOL RD,INDIANAPOLIS,INDIANA",39.785423,-86.268876
"1222 W 21ST ST,INDIANAPOLIS,INDIANA",39.795711,-86.183551
"1910 CALVIN ST,INDIANAPOLIS,INDIANA",39.741054,-86.120108
"8554 E 38TH ST,INDIANAPOLIS,INDIANA",39.826903,-86.017386
"6522 MASSACHUSETTS AVE,INDIANAPOLIS,INDIANA",39.823049,-86.056567
"2111 MARTHA ST,INDIANAPOLIS,INDIANA",39.746144,-86.197359
"2609 RADER ST,INDIANAPOLIS,INDIANA",39.8041,-86.177749
"3628 SALEM ST,INDIANAPOLIS,INDIANA",39.821971,-86.158333
"1726 S DEQUINCY ST,INDIANAPOLIS,INDIANA",39.745018,-86.086665
"2709 N RITTER AVE,INDIANAPOLIS,INDIANA",39.807794,-86.073558
"1131 JEFFERSON AVE,INDIANAPOLIS,INDIANA",39.783668,-86.123527
"3103 N ARLINGTON AVE,INDIANAPOLIS,INDIANA",39.812994,-86.064171
"2917 RADER ST,INDIANAPOLIS,INDIANA",39.808846,-86.17784
"3104 JACKSON ST,INDIANAPOLIS,INDIANA",39.763998,-86.210543
"4670 W WASHINGTON ST,INDIANAPOLIS,INDIANA",39.756217,-86.240223
"4337 CRITTENDEN AVE,INDIANAPOLIS,INDIANA",39.835859,-86.127301
"3221 E NEW YORK ST,INDIANAPOLIS,INDIANA",39.771761,-86.109872
"1109 KNOX ST,INDIANAPOLIS,INDIANA",39.721899,-86.139182
"1226 W 21ST ST,INDIANAPOLIS,INDIANA",39.795709,-86.183795
"26 JEFFERSON AVE,INDIANAPOLIS,INDIANA",39.768847,-86.124584
"1417 W 32ND ST,INDIANAPOLIS,INDIANA",39.812726,-86.187868
"23 N ADDISON ST,INDIANAPOLIS,INDIANA",39.766225,-86.203803
"6450 GUION RD,INDIANAPOLIS,INDIANA",39.874656,-86.23217
"2865 ADAMS ST,INDIANAPOLIS,INDIANA",39.808452,-86.109338
"421 N GLADSTONE AVE,INDIANAPOLIS,INDIANA",39.773933,-86.095888
"232 S RURAL ST,INDIANAPOLIS,INDIANA",39.764475,-86.116429
"51 S CHESTER AVE,INDIANAPOLIS,INDIANA",39.767854,-86.098193
"1132 MEDFORD AVE,INDIANAPOLIS,INDIANA",39.78294,-86.209835
"1330 W 32ND ST,INDIANAPOLIS,INDIANA",39.813233,-86.186184
"1129 N MOUNT ST,INDIANAPOLIS,INDIANA",39.7833,-86.201693
"5201 WINSTON PL,INDIANAPOLIS,INDIANA",39.817291,-86.08131
"2866 N DEARBORN ST,INDIANAPOLIS,INDIANA",39.808501,-86.112303
"2239 N BUTLER AVE,INDIANAPOLIS,INDIANA",39.799529,-86.07949
"3108 E 48TH ST,INDIANAPOLIS,INDIANA",39.843245,-86.113593
"2807 W 10TH ST,INDIANAPOLIS,INDIANA",39.780448,-86.206385
"1401 S ALABAMA ST,INDIANAPOLIS,INDIANA",39.748043,-86.151932
"834 ROACHE ST,INDIANAPOLIS,INDIANA",39.804601,-86.18281
"373 N HOLMES AVE,INDIANAPOLIS,INDIANA",39.772197,-86.204541
"5722 GREENFIELD AVE,INDIANAPOLIS,INDIANA",39.761472,-86.069374
"1426 N COLORADO AVE,INDIANAPOLIS,INDIANA",39.786219,-86.09609
"1335 W 32ND ST,INDIANAPOLIS,INDIANA",39.812736,-86.186499
"3242 N CAPITOL AVE,INDIANAPOLIS,INDIANA",39.814997,-86.161836
"534 N GOODLET AVE,INDIANAPOLIS,INDIANA",39.775396,-86.212558
"2724 N CAPITOL AVE,INDIANAPOLIS,INDIANA",39.806119,-86.161805
"4030 BOULEVARD PL,INDIANAPOLIS,INDIANA",39.829213,-86.164334
"2205 N GOODLET AVE,INDIANAPOLIS,INDIANA",39.795765,-86.211979
"1054 ROENA ST,INDIANAPOLIS,INDIANA",39.751627,-86.234761
"2940 COLERAIN DR,INDIANAPOLIS,INDIANA",39.803346,-86.209482
"3911 ENGLISH AVE,INDIANAPOLIS,INDIANA",39.759769,-86.099301
"3325 N HAWTHORNE LN,INDIANAPOLIS,INDIANA",39.816801,-86.078572
"1215 UNION ST,INDIANAPOLIS,INDIANA",39.75135,-86.157136
"3026 STUART ST,INDIANAPOLIS,INDIANA",39.811538,-86.108847
"5021 SANDHURST DR,INDIANAPOLIS,INDIANA",39.69083,-86.218481
"1111 S SHEFFIELD AVE,INDIANAPOLIS,INDIANA",39.75232,-86.197878
"3168 N CAPITOL AVE,INDIANAPOLIS,INDIANA",39.813305,-86.16182
"11608 COASTAL WAY,INDIANAPOLIS,INDIANA",39.791257,-85.9591
"901 N OXFORD ST,INDIANAPOLIS,INDIANA",39.779602,-86.115194
"2449 GUILFORD AVE,INDIANAPOLIS,INDIANA",39.802758,-86.141592
"3117 MASSACHUSETTS AVE,INDIANAPOLIS,INDIANA",39.795773,-86.112373
"5120 MASSACHUSETTS AVE,INDIANAPOLIS,INDIANA",39.812499,-86.080625
"3054 BROADWAY ST,INDIANAPOLIS,INDIANA",39.811894,-86.146441
"1433 MOORES MANOR,INDIANAPOLIS,INDIANA",39.787908,-85.965742
"558 W 26TH ST,INDIANAPOLIS,INDIANA",39.804522,-86.170237
"538 W 26TH ST,INDIANAPOLIS,INDIANA",39.804524,-86.169556
"1135 N PERSHING AVE,INDIANAPOLIS,INDIANA",39.783521,-86.199119
"1231 N RURAL ST,INDIANAPOLIS,INDIANA",39.784496,-86.116101
"828 RIVER AVE,INDIANAPOLIS,INDIANA",39.756456,-86.178088
