OBJECTID,PARCEL_TAG,PARCEL_I,PARCEL_C,STREETADDRESS,CITY,ID,UTILITY_ST,NaN,NaN
2193,1277419,9019456,9019456,709 N ROCHESTER AVE,INDIANAPOLIS,110688,1,-86.76535723901782,35.241997723733036
2194,1027858,1044545,1044545,2822 E 18TH ST,INDIANAPOLIS,58101,1,-86.76535389075062,35.24199775413121
2195,1124860,4018651,4018651,9637 E 42ND ST,INDIANAPOLIS,205469,0,-86.76535389075062,35.24199775413121
2196,1046586,1067634,1067634,59 N DENNY ST,INDIANAPOLIS,195363,0,-86.76535389075062,35.24199775413121
2197,1018922,1040936,1040936,2426 N DEARBORN ST,INDIANAPOLIS,282204,0,-86.76535389075062,35.24199775413121
2198,1271687,9044063,9044063,1502 N HIGH SCHOOL RD,INDIANAPOLIS,95490,0,-86.76535389075062,35.24199775413121
2199,1024019,1070769,1070769,1222 W 21ST ST,INDIANAPOLIS,262263,1,-86.76535389075062,35.24199775413121
2200,1070007,1010131,1010131,1910 CALVIN ST,INDIANAPOLIS,184435,0,-86.76535389075062,35.24199775413121
2201,1365396,4005204,4005204,8554 E 38TH ST,INDIANAPOLIS,89473,1,-86.76535723901782,35.241997723733036
2202,1175887,7007180,7007180,6522 MASSACHUSETTS AVE,INDIANAPOLIS,27096,0,-86.76535389075062,35.24199775413121
2203,1322839,9020919,9020919,2111 MARTHA ST,INDIANAPOLIS,246896,1,-86.76535723901782,35.241997723733036
2204,1017048,1059938,1059938,2609 RADER ST,INDIANAPOLIS,204301,1,-86.76535723901782,35.241997723733036
2205,1000749,1040544,1040544,3628 SALEM ST,INDIANAPOLIS,179320,1,-86.76535389075062,35.24199775413121
2206,1067415,1099695,1099695,1726 S DEQUINCY ST,INDIANAPOLIS,297929,0,-86.76535389075062,35.24199775413121
2207,1181740,7017094,7017094,2709 N RITTER AVE,INDIANAPOLIS,97158,0,-86.76535389075062,35.24199775413121
2208,1034317,1060362,1060362,1131 JEFFERSON AVE,INDIANAPOLIS,273903,1,-86.76535389075062,35.24199775413121
2209,1180411,7015856,7015856,3103 N ARLINGTON AVE,INDIANAPOLIS,324633,1,-86.76535723901782,35.241997723733036
2210,1012129,1033423,1033423,2917 RADER ST,INDIANAPOLIS,234565,1,-86.76535389075062,35.24199775413121
2211,1283725,9023766,9023766,3104 JACKSON ST,INDIANAPOLIS,176127,0,-86.76535389075062,35.24199775413121
2212,1288918,9003703,9003703,4670 W WASHINGTON ST,INDIANAPOLIS,223527,1,-86.76535723901782,35.241997723733036
2213,1248083,8015645,8015645,4337 CRITTENDEN AVE,INDIANAPOLIS,221002,0,-86.76535389075062,35.24199775413121
2214,1045687,1090897,1090897,3221 E NEW YORK ST,INDIANAPOLIS,201493,0,-86.76535389075062,35.24199775413121
2215,1326919,5008114,5008114,1109 KNOX ST,INDIANAPOLIS,260840,1,-86.76535723901782,35.241997723733036
2216,1024022,1070810,1070810,1226 W 21ST ST,INDIANAPOLIS,54737,1,-86.76535389075062,35.24199775413121
2217,1048658,1043347,1043347,26 JEFFERSON AVE,INDIANAPOLIS,287700,1,-86.76535389075062,35.24199775413121
2218,1007984,1072212,1072212,1417 W 32ND ST,INDIANAPOLIS,106857,0,-86.76535389075062,35.24199775413121
2219,1282819,9024161,9024161,23 N ADDISON ST,INDIANAPOLIS,282931,0,-86.76535389075062,35.24199775413121
2220,1162694,6013841,6013841,6450 GUION RD,INDIANAPOLIS,341043,1,-86.76535723901782,35.241997723733036
2221,1012784,1035672,1035672,2865 ADAMS ST,INDIANAPOLIS,318835,1,-86.76535389075062,35.24199775413121
2222,1043308,1065578,1065578,421 N GLADSTONE AVE,INDIANAPOLIS,241327,0,-86.76535389075062,35.24199775413121
